id,old_name,new_name
35152,"Oorapakk Kunn Tribal Colony, Vazhavatta",Vazhavatta - Oorapakk Kunn Tribal Colony
35153,"Naikollikunn Tribal Colony, Pakkam",Pakkam - Naikollikunn Tribal Colony
35154,"Naikollikunn Kuruma Colony, Pakkam",Pakkam - Naikollikunn Kuruma Colony
35155,"Unnikkan Tribal Colony, Pakkam",Pakkam - Unnikkan Tribal Colony
35156,"Palakattkunn tribal Colony, Pakkam",Pakkam - Palakattkunn tribal Colony
35157,"Kaippadam Tribal Colony, Variad",Variad - Kaippadam Tribal Colony
35158,"Theneri Kuruma Colony, Theneri",Theneri - Theneri Kuruma Colony
35159,"Bharathan Colony, Theneri",Theneri - Bharathan Colony
35160,"Malakkad Kuruma Colony, Pakyanikunn",Pakyanikunn - Malakkad Kuruma Colony
35161,"Malakkad tribal Colony, Pakyanikunn",Pakyanikunn - Malakkad tribal Colony
35182,"Banashankari 6th Stage, 11th Block",11th Block - Banashankari 6th Stage
35210,"Ministry of Communications Employees Co-operative Housing Society, 6th Phase",6th Phase - Ministry of Communications Employees Co-operative Housing Society
35227,"Colony, Manhappatta",Manhappatta - Colony
35240,"Kalmparambu Colony, Naduvattom",Naduvattom - Kalmparambu Colony
35242,"Mythri Colony, Kuttippuram",Kuttippuram - Mythri Colony
35248,"Kubara Colony, Nagaparambu",Nagaparambu - Kubara Colony
35308,"Colony, Pizhaku",Pizhaku - Colony
35309,"Colony, Veliayath",Veliayath - Colony
35310,"Colony, Kudampidi",Kudampidi - Colony
35311,"Colony, Elivali",Elivali - Colony
35351,"Puzhamkuni Tribal Colony, Vazhavatta",Vazhavatta - Puzhamkuni Tribal Colony
35352,"Kallupadi Kuruma Colony, Kallupadi",Kallupadi - Kallupadi Kuruma Colony
35354,"Aavilatt Tribal Colony, Karingannikunn",Karingannikunn - Aavilatt Tribal Colony
35355,"4 cent Colony, Karingannikunn",Karingannikunn - 4 cent Colony
35357,"Alakunn Colony, Karinganikunn",Karinganikunn - Alakunn Colony
35358,"Kudalmoola Colony, Kolavayal",Kolavayal - Kudalmoola Colony
35359,"Tazhe Kozhimoola Tribal Colony, Kolavayal",Kolavayal - Tazhe Kozhimoola Tribal Colony
35360,"Thazhe Njanummal Colony, Kolavayal",Kolavayal - Thazhe Njanummal Colony
35371,"Ittiyarmala Colony,Kalamboor",Kalamboor - Ittiyarmala Colony
35377,"Colony, Mundakkutti",Mundakkutti - Colony
35425,"Vengoor, Ambedkar Colony",Ambedkar Colony - Vengoor
35514,"Lakshamveed Colony, Kundlikkad",Kundlikkad - Lakshamveed Colony
35627,"Colony , Thuvvur",Thuvvur - Colony
35628,"Colony , Thuvvur",Thuvvur - Colony
35629,"Colony , Thuvvur",Thuvvur - Colony
35630,"Colony , Thuvvur",Thuvvur - Colony
35631,"Colony , Thuvvur",Thuvvur - Colony
35632,"Colony , Thuvvur",Thuvvur - Colony
35633,"Colony , Thuvvur",Thuvvur - Colony
35634,"Makarakunn Colony , Thuvvur",Thuvvur - Makarakunn Colony
35635,"Colony , Thuvvur",Thuvvur - Colony
35636,"Colony , Thuvvur",Thuvvur - Colony
35637,"Colony , Thuvvur",Thuvvur - Colony
35638,"Colony , Thuvvur",Thuvvur - Colony
35640,"Colony , Thuvvur",Thuvvur - Colony
35777,"Kottayam Colony, Vandaikkal",Vandaikkal - Kottayam Colony
35806,"Girijan Colony, Chokkad",Chokkad - Girijan Colony
35826,"Ambedkar Colony, Puducode",Puducode - Ambedkar Colony
35832,"Lakshamveedu Colony, Pattoola",Pattoola - Lakshamveedu Colony
35840,"Oravankunnu Colony, Oravankunnu",Oravankunnu - Oravankunnu Colony
35841,"Chokkad Colony, Chokkad",Chokkad - Chokkad Colony
35895,"Lakshamveed Colony,Kattumulla",Kattumulla - Lakshamveed Colony
35976,"Lakshamveed Colony, Mallamballa",Mallamballa - Lakshamveed Colony
35982,"Michabhoomi Colony, Ponthiyampuram",Ponthiyampuram - Michabhoomi Colony
36006,"Lakshamveed Colony, Mundampokk",Mundampokk - Lakshamveed Colony
36026,"Jawahar Colony, Achickal",Achickal - Jawahar Colony
36028,"IHDP Colony, Achickal",Achickal - IHDP Colony
36046,"SC Colony, Choondacherry",Choondacherry - SC Colony
36951,"Chungam, Paplassery",Paplassery - Chungam
37692,"Krishna Nagar, Periyar Road",Periyar Road - Krishna Nagar
37716,"D Silva Layout , Happy Valley",Happy Valley - D Silva Layout
