name,district,latitude,longitude,type
Aasanur,Tamil Nadu,11.6742732,77.1285437,bus_stop
Aasarithara Colony,Tamil Nadu,10.6521958,76.4511407,neighborhood
Aasharimukku;amarap.o,Tamil Nadu,9.4469652,76.5932022,neighborhood
Aasharissery Colony,Tamil Nadu,9.7331689,76.3997382,neighborhood
Aashramum Bus Stop;Ashramam bustop,Tamil Nadu,10.5528251,76.1612683,bus_stop
Aathangaraipatti,Tamil Nadu,10.6126095,79.1404008,village
Aathupalam,Tamil Nadu,10.7830731,79.1389709,neighborhood
Aathur,Tamil Nadu,10.68936,77.96999,village
Aatkattuveli,Tamil Nadu,10.4654187,79.5567274,village
Aattukaranpannai,Tamil Nadu,10.91786,78.68113,village
Aattukkaaranpatti,Tamil Nadu,10.6762966,78.7011623,village
Aattupuram,Tamil Nadu,10.1792393,76.3022627,neighborhood
Aavalli Colony,Tamil Nadu,9.7167459,76.3928382,neighborhood
Aavarangaal,Tamil Nadu,9.7583915,80.1105541,village
Aavilatt Tribal Colony; Karingannikunn,Tamil Nadu,11.6221284,76.1440015,neighborhood
Aaya Kolathur,Tamil Nadu,13.0102384,79.9318017,village
Aayepatti,Tamil Nadu,10.480617,79.044249,village
Aayirampady,Tamil Nadu,9.7117822,76.5930066,neighborhood
Aazhchath Colony,Tamil Nadu,10.8548492,76.4985967,neighborhood
Abalavadi,Tamil Nadu,12.7176033,76.9404962,village
Abbaiah Reddy Layout,Tamil Nadu,12.9792262,77.680936,neighborhood
Abbakunta,Tamil Nadu,12.7325625,78.3997638,village
Abbanakuppe,Tamil Nadu,12.7705892,77.4077475,village
Abbanakuppe,Tamil Nadu,13.0996083,76.9527499,neighborhood
Abbani,Tamil Nadu,13.1037986,78.2183077,village
Abbenahalli,Tamil Nadu,13.0466399,77.9449858,village
Abbigiri Hosahalli,Tamil Nadu,12.960293,78.1391001,village
Abbihalli,Tamil Nadu,13.0332235,78.4571117,village
Abbirajukandriga,Tamil Nadu,13.1210186,79.3608557,village
Abbugundu,Tamil Nadu,13.3807744,79.0231782,village
Abburu,Tamil Nadu,12.2184736,76.1801149,village
Abburu,Tamil Nadu,12.7013999,77.176848,village
Abburu,Tamil Nadu,12.333156,76.1089833,village
Abburu Doddi,Tamil Nadu,12.6933179,77.1686473,village
Abdullapuram,Tamil Nadu,12.7852977,79.6744528,village
Abhinavam,Tamil Nadu,11.66244,78.4706478,village
Abhinimangalam,Tamil Nadu,11.0657124,78.6690016,village
Abhisekhāpuram,Tamil Nadu,10.0241423,78.9127564,village
Abhishekapuram,Tamil Nadu,11.1120008,79.7741747,village
Abiramam,Tamil Nadu,9.4420721,78.4396376,village
Abiramapuram,Tamil Nadu,11.1470637,79.5347975,village
Abivirthiswaram,Tamil Nadu,10.794439,79.4749862,village
Abludu,Tamil Nadu,13.4400129,77.8535071,village
Abri,Tamil Nadu,11.9906038,79.8145918,neighborhood
Abshot Layout,Tamil Nadu,12.9930728,77.5866428,neighborhood
Acceptance,Tamil Nadu,11.9918314,79.8183747,neighborhood
Acchatnahalli,Tamil Nadu,13.1064407,77.9924546,village
Acchutharayapuram,Tamil Nadu,11.1056274,79.6744339,village
Achaiah Chetty Layout,Tamil Nadu,13.0134746,77.5830111,neighborhood
Achakarai north,Tamil Nadu,10.62151,79.81245,village
Achakkarai,Tamil Nadu,10.61819,79.80703,village
Achalpuram,Tamil Nadu,11.3316305,79.7518372,village
Achalu,Tamil Nadu,12.4748989,77.3630136,village
Achamangalam,Tamil Nadu,12.4857723,78.3193016,village
Achamma Agraharam,Tamil Nadu,13.4044524,79.1681936,village
Achampalli,Tamil Nadu,13.0476971,78.4057744,village
Achampalli,Tamil Nadu,13.2911315,78.3198942,village
Achampathu,Tamil Nadu,9.9386932,78.0656725,village
Achampatti,Tamil Nadu,10.6733993,78.9505305,village
Achanakal hatty,Tamil Nadu,11.3819417,76.7224808,village
Achankadu,Tamil Nadu,11.80746,77.77625,village
Achankovil,Tamil Nadu,9.0922383,77.1216764,village
Achankundram,Tamil Nadu,8.9641649,77.4750473,village
Achankunnu,Tamil Nadu,10.522942,76.2970321,village
Achankuttaipatti,Tamil Nadu,11.7545296,78.2929965,village
Achankuttapatty Colony,Tamil Nadu,11.7537565,78.2961575,village
Achanpudur,Tamil Nadu,9.0401197,77.2985523,village
Achanthavilthan,Tamil Nadu,9.4361048,77.6651834,village
Achanur,Tamil Nadu,10.8785614,79.0498916,village
Achanyakanpatti,Tamil Nadu,10.5774283,78.5987663,village
Acharapakkam,Tamil Nadu,12.4076751,79.8172425,village
Achcharapākkam,Tamil Nadu,12.5986482,80.09619,village
Achcharavākkam,Tamil Nadu,12.690772,80.1304149,village
Achchipuram,Tamil Nadu,10.2207929,77.8693932,village
