name,type,latitude,longitude,district,state,osm_id
Edaiyathimangalam north,hamlet,10.0767625,79.2093015,Unknown,Tamil Nadu,6143256144
Keeranur,hamlet,10.0553816,79.1739178,Unknown,Tamil Nadu,6143256146
Mumpalai pattinam,hamlet,10.0698963,79.2356622,Unknown,Tamil Nadu,6143363614
Melasthanam Indiranagar,hamlet,10.07934,79.2271757,Unknown,Tamil Nadu,6143376400
Pattankadu,hamlet,10.0611073,79.2268967,Unknown,Tamil Nadu,6143376401
Vadakkumanamelkudi,hamlet,10.0535646,79.2300081,Unknown,Tamil Nadu,6143400815
Vadakkuammapattinam,hamlet,10.0502184,79.2478797,Unknown,Tamil Nadu,6143499268
Nallivayal,hamlet,10.0420918,79.2018556,Unknown,Tamil Nadu,6143607557
Karuppakuruchi,hamlet,10.0445427,79.1988945,Unknown,Tamil Nadu,6143607558
Keelakuruchi,hamlet,10.0323618,79.2050528,Unknown,Tamil Nadu,6143652376
Seeganivayal,hamlet,10.0297945,79.1902685,Unknown,Tamil Nadu,6143652377
Vettanivayal,hamlet,10.0466134,79.1909122,Unknown,Tamil Nadu,6143654501
Udaiyarkoil,hamlet,10.0374011,79.1837668,Unknown,Tamil Nadu,6148435806
Parimanakudi,hamlet,10.0375226,79.1614562,Unknown,Tamil Nadu,6153151238
Paranur,hamlet,10.0291184,79.1678452,Unknown,Tamil Nadu,6153174392
Payamariyanendal,hamlet,10.0203917,79.1579318,Unknown,Tamil Nadu,6153180630
Vannichipattinam south,hamlet,10.0010568,79.2118657,Unknown,Tamil Nadu,6153837579
Vannichipattinam north,hamlet,10.0042054,79.2150199,Unknown,Tamil Nadu,6153837580
Moolavayal,hamlet,10.016398,79.212445,Unknown,Tamil Nadu,6153837581
Kunapathimangalam,hamlet,10.0164191,79.2035293,Unknown,Tamil Nadu,6153837582
Ottankarai,hamlet,10.018173,79.2139792,Unknown,Tamil Nadu,6153837583
Manakadu,hamlet,10.0279879,79.2170637,Unknown,Tamil Nadu,6153837584
Karakathikottai south,hamlet,10.0046703,79.1753983,Unknown,Tamil Nadu,6153870477
