name,type,latitude,longitude,osm_id
Kandanakam Kerala State Road Transport Corporation,bus_stop,10.8139157,76.0140147,4308325290
Palapetty beach,bus_stop,10.3623777,76.1081482,4348995047
Nelliady Junction,bus_stop,9.7999479,80.2007805,4353903220
Kacheriyady Bus Station,bus_stop,9.6615664,80.0291678,4357163359
Enchakkal,bus_stop,8.4787442,76.9374966,4410752289
Njaliakuzhi Bus Stand,bus_stop,9.5219045,76.5734398,4415494793
Munekolala bus stand,bus_stop,12.9486948,77.7080762,4417325592
K.K.Nagar Bus Station,bus_stop,10.7573417,78.6920679,4420664522
Marayamuttom,bus_stop,8.4166055,77.1077296,4434041235
"Mukkadamukku, Chavara",bus_stop,8.9784651,76.5436009,4445183990
Kunjalumoodu Chavara,bus_stop,8.9797661,76.5387055,4445183991
"Vazhayilmukku, Chavara",bus_stop,8.9781236,76.5461243,4445269189
Thozhuvanoor,bus_stop,10.9007613,76.0592056,4502579790
Paravur Bus Stand,bus_stop,8.8107644,76.6686915,4510122590
ESI Bus Stop,bus_stop,11.0071149,77.0109984,4594346689
Local bus stand,bus_stop,10.0863546,77.0611839,4616175089
Vikas Bhavan Bus Depot,bus_stop,8.5085586,76.9469661,4688824842
Talawa,bus_stop,8.2368827,80.3506013,4690500351
TNEB bus stop,bus_stop,12.9565869,79.1417922,4693434799
Alathur private Bus staion,bus_stop,10.6469228,76.5417394,4744267021
Chavara Pvt. Bus Stand,bus_stop,8.9757533,76.5351064,4748418898
Vadalur Bus Stand,bus_stop,11.555689,79.5554041,4820805923
പന്തളം,bus_stop,9.2244689,76.6770026,4829735633
PrivateBusStation,bus_stop,9.311192,76.5353918,4829744731
Turuvekere,bus_stop,13.1626658,76.6657197,4849078824
Sattur Bus Stand,bus_stop,9.3567016,77.919319,4910970424
Neyyar Dam,bus_stop,8.5327095,77.1447283,5097234921
Perambakkam Bus Depo,bus_stop,13.0373177,79.8135891,5227510048
Mogappair West Bus Terminus,bus_stop,13.0822086,80.1704109,5230370403
bus stop,bus_stop,10.8107108,78.6794065,5234732307
Nochchiyagama Bus Station,bus_stop,8.2638059,80.2100739,5245293241
Electronic City Wipro Main Gate,bus_stop,12.8359981,77.6571688,5279552026
Kozhinjampara Bus Stand,bus_stop,10.7375466,76.8336961,5300436205
SRM Travels,bus_stop,13.0710975,80.2029962,5318548733
Bus Stand - Galnewa,bus_stop,8.0343505,80.4804663,5519616115
Pachoor Bus Stop,bus_stop,12.5930638,78.4629925,5569048844
Vaiyampatti,bus_stop,10.5507901,78.3036713,5586064553
Musiri,bus_stop,10.951872,78.4403353,5713786234
Molekkurish Bus Stop,bus_stop,10.0366621,76.4162776,5757830263
Unnichira,bus_stop,10.0299877,76.3191024,5757830538
Thykkavu,bus_stop,10.0318049,76.3218034,5757830539
Vellikulangara Bus Stand,bus_stop,10.3605311,76.4108991,5978953440
Sarjapura Bus Stand,bus_stop,12.8613835,77.7855737,5993281836
Elamkadu Bus Stand,bus_stop,9.6342394,76.89555,6004246335
Kurinjipadi Bustand,bus_stop,11.5625293,79.5971261,6109509207
Viralimalai,bus_stop,10.6075417,78.5468252,6126093265
Mayiladuthurai new bus stand,bus_stop,11.0996232,79.6512869,6139826890
மருதமலை பேருந்து நிலையம்,bus_stop,11.0434989,76.863919,6143848628
vadavalli bus stand,bus_stop,11.027921,76.9059414,6144316491
Somanur Bus Stand,bus_stop,11.0845248,77.1877025,6207001231
Attipeedika Bus Stand,bus_stop,9.576929,76.4351363,6237476485
Kalpitiya Bus Terminal,bus_stop,8.2404819,79.7635843,6295845563
Tiruninravur Bus Stand,bus_stop,13.124774,80.0323861,6354463623
Netaji bus station chinnamanur,bus_stop,9.8481585,77.3829527,6763716139
cumbum bus stand,bus_stop,9.7382919,77.2883856,6763784406
Bus stop,bus_stop,12.514924,76.880872,6779114166
thekkekara bus stop,bus_stop,10.7600423,76.5361447,6872584459
Aryanad Bus Stand,bus_stop,8.5796319,77.0830541,6894794701
mangatukavala,bus_stop,9.9077872,76.7204228,6897397549
private bus station pandalam,bus_stop,9.2248312,76.6778201,6898348375
Karuvarakund Bus stand,bus_stop,11.1255968,76.3424834,6982422336
Parassala,bus_stop,8.3494223,77.1464755,7016742691
Neyyattinkara Bus Stand,bus_stop,8.3974066,77.0880245,7075686804
thriprayar privet bus stand,bus_stop,10.4150436,76.107365,7079154533
Omni Bus stand,bus_stop,10.7969528,78.6825974,7083322813
Vithura,bus_stop,8.6763654,77.0951147,7090063788
wadakkanchery bus station,bus_stop,10.6573204,76.2465786,7103911109
Thiruvambady Bus Stand,bus_stop,11.3611627,76.0099571,7119153736
Koodaranji Bus stand,bus_stop,11.3481892,76.0361837,7119677646
Aashramum Bus Stop;Ashramam bustop,bus_stop,10.5528251,76.1612683,7123793987
Kandala Bus Stop,bus_stop,8.4828986,77.0726519,7128163559
Pampady Bus Stand,bus_stop,9.5696697,76.6398576,7201164051
தாம்பரம் சானடோரியம் பேருந்து நிலையம்,bus_stop,12.9371949,80.1272849,7205568985
അങ്കമാലി ബസ് സ്റ്റാന്റ്,bus_stop,10.1958543,76.3865464,7227156494
elampally,bus_stop,9.5704685,76.7169812,7305284372
"KSRTC BUS STAND, KOOTHATUKULAM",bus_stop,9.8633567,76.5928441,7321075019
Puthuppally Bus Stand,bus_stop,9.5573955,76.5727024,7324324347
kottaramattam bus terminal,bus_stop,9.708848,76.6728613,7325550887
ksrtc sub depot NDKM,bus_stop,9.836373,77.1596296,7335357661
Kottarakkara Kerala State Road Transport Corporation Bus Station,bus_stop,9.0060586,76.7819086,7342727365
Mannanthala,bus_stop,8.560323,76.9435115,7454153723
Mannanthala,bus_stop,8.5605733,76.9431227,7454153725
Kerala State Transport Corporation Bus Stand,bus_stop,8.6054656,77.0035783,7459280920
Kavumkara Bus Station/Market Bus Stand,bus_stop,9.9891756,76.5845116,7461797457
Chirayinkeezhu,bus_stop,8.6604187,76.7853866,7462250969
Parappil Bus Stand,bus_stop,8.7174991,76.9790588,7462528377
Kerala State Road Transport Corporation Bus Stand,bus_stop,9.4453829,76.5406697,7462779262
